Country,Population,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Revovered,Active Cases,"Serious, Critical Cases",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop
Channel Islands,176441,46018,,137 ,,42678,,3203,,260812,776,1189402,6741075
Papua New Guinea,9219474,38222,,610 ,,36311,,1301,7,4146,66,249149,27024
Curaçao,165173,38172,,249 ,,36729,,1194,3,231103,1508,466314,2823185
Seychelles,99327,38120,,157 ,,36737,,1226,,383783,1581,,
Burundi,12459621,37816,60,38 ,,773,,37005,,3035,3,345742,27749
Andorra,77464,37074,,148 ,,35753,,1173,14,478597,1911,249838,3225214
Togo,8590531,36630,10,270 ,,34334,111,2026,,4264,31,672791,78318
Mayotte,283392,36556,,187 ,,2964,,33405,,128994,660,176919,624291
Guinea,13705087,36329,15,436 ,2,32684,22,3209,49,2651,32,587607,42875
New Caledonia,289913,35043,1047,284 ,,21273,1802,13486,36,120874,980,98964,341358
Tanzania,62467398,33436,,792 ,,N/A,N/A,N/A,7,535,13,,
Aruba,107495,33436,,196 ,,33092,,148,8,311047,1823,177885,1654821
Bahamas,399288,32871,,756 ,,25300,,6815,9,82324,1893,213711,535230
Lesotho,2169568,32372,,696 ,,22812,,8864,,14921,321,387083,178415
Mali,21187797,30251,,715 ,,27110,,2426,,1428,34,605741,28589
Haiti,11626088,29907,,807 ,,24997,,4103,,2572,69,132422,11390
Mauritius,1275164,27435,,762 ,,25684,,989,,21515,598,358675,281278
Benin,12633381,26498,,163 ,,25506,,829,5,2097,13,604310,47834
Faeroe Islands,49162,26288,,22 ,,7693,,18573,5,534722,448,763000,15520117
Somalia,16605542,26203,,"1,340 ",,13182,,11681,,1578,81,400466,24116
Congo,5736334,23860,,375 ,,20178,,3307,,4159,65,347815,60634
Isle of Man,85757,22052,,77 ,,21704,,271,,257145,898,150753,1757909
Saint Lucia,184977,21873,,346 ,,19889,,1638,1,118247,1871,130057,703098
Timor-Leste,1358813,21158,,122 ,,19828,,1208,19,15571,90,239055,175929
Burkina Faso,21824110,20696,,375 ,,20269,,52,,948,17,245968,11270
Brunei ,444217,20454,981,98 ,,16610,196,3746,3,46045,221,711068,1600722
Taiwan,23886135,19455,79,851 ,,17385,128,1219,,814,36,10919403,457144
New Zealand,"5,002,100 ",19313,476,53 ,,15600,101,3660,,3861,11,6249107,1249297
Hong Kong,7594824,18794,,216 ,,13232,,5346,,2475,28,34860499,4590034
Nicaragua,6751316,17791,,218 ,,4225,,13348,,2635,32,,
